Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
1,3,"Work out the following expression;
5*{3*(6-1)-3}+8
",C,25,49,68
1,4,"Given 43-x=21, find the value of x;
",A,22,-22,43/21
1,5,"Given 63+y=33, find the value of y;
",C,2,93,-30
1,6,"Work out the following sum;
(10/22)+(5/11) =
",A,20/22,30/22,29/22
1,7,"Calculete the sum of the following
equation;
1.25 + 10 + 5 =
",A,"16,25","15,25","20,25"
1,8,"Calculete the sum of the following
equation;
11,2+6.7+7.3 =
",C,25,"25,3","25,2"
1,13,"Calculete the following division;
(220)/(20) =
",A,11,10,9
1,14,"Calculete the following division;
(330)/(33) =
",B,12,10,-10
1,15,"Calculete the result of the followingdivision;
(1.5)/(0.3) =
",A,5,7,8
1,16,"Calculete the result of the followingdivision;
(125)/(-5) =
",A,-25,25,30
1,17,"Find the result of the following addition;
(6/5)+(7/5)+(3/5) =
",C,21/5,19/5,16/5
1,19,"Find the result of the following addition;
((1/2)+(2/3)+(3/5))/((2/3)+(3/5)-(1/2)) =
",C,43/23,3/2,53/23
1,20,"Find the result of the following addition;
(3-(4/5))/(1+(1/10)) =
",A,2,1,3
1,21,"Find the result of the following addition;
1/((1/2)+(1/4)-(1/8)) =
",C,2,3/8,8/5
1,22,"Find the result of the following expression;
((1/3)-(1/3)*(1/3)+(1/3)*(1/3)) =
",C,4/3,1,1/3
1,24,"Find the result of the following addition;
13 12/17 +17 5/17 =
",C,29,30,31
1,25,"Find the result of the following addition;
2 3/4-5 1/4 =
",A,-5/2,-8,-6
1,1,"Solve the following equation and find x ;
4x+2y = 64
2x-8y = 86
",A,19,25,125
1,2,"Solve the following equation and find x ;
2x-3y = 11
5x-2y=22
",C,-1,3,4
1,18,"Find the result of the following addition;
1/(1/3)+1/(1/4)-1/(1/5) =
",B,1,2,7
1,23,"Find the result of the following addition;
1+((1/2)/(1/3))/ 1-((1/2)*(1/3)) =
",A,3,5,27/5
1,26,"Calculete the result of the following subtraction;
16/9-7/5-2/5 =
",A,-1/45,6/7,9/5
1,27,"Calculete the result of the following multiplication;
6*(9/12) =
",B,54/12,9/2,21/17
1,28,"Calculete the result of the following multiplication;
(6/7)*(7/6) =
",A,1,1\6,1\7
1,29,"Calculete the result of the following multiplication;
(-2)*(3/4)-(5)*(1/4) =
",A,-11/4,-8,-15/2
1,30,"Calculete the result of the following multiplication;
(2 1/3)*(3 6/5) =
",A,49/5,27/5,17/6
1,31,"Calculete the result of the following multiplication;
(-7/6)*(-6/7) =
",A,1,-1,-2
